"ProductId","Image Url","Video Url","Product Desc","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Store Level","Comment Score","Promotion Url","Seller Code","Code Available Time Start","Code Available Time End","Code Campaign Type","Code Value/Rate","Code Mini Spend","Code Quantity","Code Promotion Url"
"32920361509","https://ae04.alicdn.com/kf/HTB13apAXiHrK1Rjy0Flq6AsaFXaz.jpg","","2018 Children Baby Girls Clothes Infant Clothing Set Bodysuits Pink Long Sleeve Tops+Little Swan Cute Pants+Headband 3pcs Outfit","USD 7.82","14.00%","USD","3.0","USD 0.23","3","Average","5","https://s.click.aliexpress.com/e/_9xFSvH",,,,,,,,
"1005003789176581","https://ae04.alicdn.com/kf/S487b8ffd7a6b41f4a43e026e56e302acE.jpg","","Kids Outfits 2022 Spring Summer Baby Girls Clothing Sets Newborn Caots Rompers Stripe Infant Clothes Soft Cotton 2 Piece Suit","USD 12.21","45.00%","USD","4.0","USD 0.49","2","Good","0","https://s.click.aliexpress.com/e/_Af3IGx",,,,,,,,
"1005003269399489","https://ae04.alicdn.com/kf/H2e6072942e444ddf887ee5b10649efa9t.jpg","","0-24M Baby Boys Clothing Newborn Letter Deer Head Print Long Sleeve O-Neck Rompers Animal Pattern Pants Knotted Cap 3pcs Outfits","USD 4.39","30.00%","USD","3.0","USD 0.13","1","Good","0","https://s.click.aliexpress.com/e/_9wsblp",,,,,,,,
"1005003690946799","https://ae04.alicdn.com/kf/H627ff846e77d4826968b6060fee4fc9f4.jpg","","3Piece Infant Girl Clothes Floral Baby Girl Set for New Born 0 to 3 Hooded Baby Girl Clothes Long Sleeve Baby Outfit Autumn","USD 11.36","29.00%","USD","3.0","USD 0.34","2","Good","0","https://s.click.aliexpress.com/e/_9G9paF",,,,,,,,
"1005003714857209","https://ae04.alicdn.com/kf/H3cd8fc96b94b45f582f8ed81c724f8a9x.jpg","","Summer Romper Short Sleeve Baby Jumpsuit for New Born 0 3 Baby Girl Clothes Floral Boy Clothes Baby Newborn Clothing","USD 10.70","29.00%","USD","3.0","USD 0.32","0","Good","0","https://s.click.aliexpress.com/e/_AUzQX1",,,,,,,,
"32914533569","https://ae04.alicdn.com/kf/HTB1GJDRKbSYBuNjSspiq6xNzpXa7.jpg","","Autumn Baby Girl Boy Clothes Set 3PCS Newborn Infant Toddler Kid Long Sleeve Cotton Bodysuit Fish Pants Panty Hat Outfit 0-24M","USD 5.85","24.00%","USD","3.0","USD 0.18","1","Good","5","https://s.click.aliexpress.com/e/_9x3Dht",,,,,,,,
"1005003762302423","https://ae04.alicdn.com/kf/H26a18fbc9a534979b76d7e42e3ba83a0J.jpg","","Leopard Baby Boy Clothes Newborn Baby Girl Summer Clothes Long Sleeve Romper for Babies Infant Girl Clothes Children's Clothing","USD 10.58","29.00%","USD","3.0","USD 0.32","0","Good","0","https://s.click.aliexpress.com/e/_9vJKD5",,,,,,,,
"1005002147961709","https://ae04.alicdn.com/kf/H61d613c5c0d944caa2536c02cb149d324.jpg","","2020 Summer Newborn Baby Girl Clothes Sleeveless Solid Color White Lace Flower Ruffle Romper One-piece Outfit Sunsuit","USD 6.85","3.00%","USD","5.0","USD 0.34","0","Average","0","https://s.click.aliexpress.com/e/_A7fVkf",,,,,,,,
"32929369050","https://ae04.alicdn.com/kf/HTB1kwO9XdfvK1RjSspfq6zzXFXaz.jpg","","Cool Girl Style Bodysuits Baby Girl Winter Clothes NewBorn Body Baby Ropa Baby Bodysuit Full Sleeve Baby Bodysuits","USD 9.98","0.00%","USD","4.5","USD 0.45","1","No Score","0","https://s.click.aliexpress.com/e/_AoMCt5",,,,,,,,
"1005003737431787","https://ae04.alicdn.com/kf/Haea225b3bb3a435abc37cfdf33112003D.jpg","","Solid Boy Romper for Babies Summer Short Sleeve Baby Girl Clothes for New Born 0 to 3 Cute Costume for Baby Jumpsuit","USD 9.56","30.00%","USD","3.0","USD 0.29","0","Good","0","https://s.click.aliexpress.com/e/_9xHwtd",,,,,,,,
"32973739533","https://ae04.alicdn.com/kf/HLB1cxvea2vsK1RjSspdq6AZepXan.jpg","","Cartoon Baby Rash Guards Swimwear Kids Boys Girls Summer Beach Swimsuit+Hat 2Pcs Set Children Zipper Swimming Bath Suit Clothes","USD 11.58","39.00%","USD","4.0","USD 0.46","1","No Score","0","https://s.click.aliexpress.com/e/_991nSb",,,,,,,,
"1005003744184520","https://ae04.alicdn.com/kf/H3339d32473f945b992b81aecb6f3e6b3o.jpg","","Summer Baby Jumpsuit Cartoon Animal Baby Romper for New Born 0 3 Short Sleeve Newborn Clothing Baby Clothes Boys Girls","USD 9.84","30.00%","USD","3.0","USD 0.30","1","Good","0","https://s.click.aliexpress.com/e/_9hd1kn",,,,,,,,
"1005001993286251","https://ae04.alicdn.com/kf/H348bd24168954962bf1a85a2122f42b2T.jpg","https://cloud.video.taobao.com/play/u/2210276566360/p/1/e/6/t/10301/293858939474.mp4","The Mandalorian Baby Yoda Newborn Infant Boys Girls Romper Clothes Newborn Jumpsuit Toddler Bodysuit Dropship","USD 4.27","41.00%","USD","3.0","USD 0.13","2","Good","0","https://s.click.aliexpress.com/e/_AFtB11",,,,,,,,
"1005002661170232","https://ae04.alicdn.com/kf/H025c41249e4d4b47a7f1293ee83d0df0c.jpg","","Summer Newborn Baby Girls Clothes Outfit Set Flying Sleeves Romper+ Dots Triangle Short Elastic Band + Headband Toddler Outfits","USD 5.18","46.00%","USD","3.0","USD 0.16","1","Good","0","https://s.click.aliexpress.com/e/_AccAqX",,,,,,,,
"1005003761925956","https://ae04.alicdn.com/kf/H88b1dab8dfb04ecd9f0c901e89c6a07f8.jpg","","Short Sleeve Baby Clothes Newborn Romper for Babies Cartoon Baby Girl Summer Clothes Infant Girl Clothes Children's Clothing","USD 9.60","29.00%","USD","3.0","USD 0.29","0","Good","0","https://s.click.aliexpress.com/e/_AFDUQB",,,,,,,,
"1005003693891230","https://ae04.alicdn.com/kf/H70056e01ccf84185a002f742f2c7a576t.jpg","","Baby Girls Summer Fly Sleeve Flower Outfits Pure Cotton Clothes Infant Jumpsuits +headbands Bow Kids Newborn Bodysuits 0-24M","USD 7.52","31.00%","USD","3.0","USD 0.23","0","Average","0","https://s.click.aliexpress.com/e/_9ALKJh",,,,,,,,
"1005003625875432","https://ae04.alicdn.com/kf/S396f618a609b4a1e995dc46c5da2ba27w.jpg","","Spring Baby Girls Clothing Sets Kids Sportswear Cartoon Rabbit Long Sleeve T Shirt Pants Children Casual Clothes Infant Outfits","USD 14.19","45.00%","USD","4.0","USD 0.57","6","Good","0","https://s.click.aliexpress.com/e/_AbDXgP",,,,,,,,
"32895085067","https://ae04.alicdn.com/kf/HTB1wAYpEkSWBuNjSszdq6zeSpXae.jpg","","Blue Hot Air Balloon Newborn Bodysuits Summer Children Clothes Short Sleeve White Color Kids Jumpsuit Cotton Boys Girls Clothes","USD 4.74","6.00%","USD","3.5","USD 0.17","0","Good","0","https://s.click.aliexpress.com/e/_A2E8ef",,,,,,,,
